,Departamento,Municipality,Grid,MPIO_CCNCT,Coca Cultivation Area,Base Coca,Total Erradication,Predicted
21088,CAQUETÁ,LA MONTAÑITA,122_5_1_7,18410,11.067129789607,1475737.0,2383.1600000000003,11.172041435241699
84714,VALLE DEL CAUCA,BUENAVENTURA,66_83_4_10,76109,22.1579268,1579195.0,4903.9606,14.942783299088479
79247,PUTUMAYO,PUERTO GUZMÁN,121_70_3_2,86571,10.4042,55524.0,24111.28,10.987476711273194
38759,GUAINÍA,INÍRIDA,88_64_1_9,94001,1.8900000000000001,93528.0,0.0,1.422841997742653
24569,CAQUETÁ,SOLANO,122_26_4_9,18756,1.44,0.0,479.3,0.7196000188589096
63038,NARIÑO,POLICARPA,105_49_1_21,52540,18.64733690661,1119110.0,5500.039999999999,21.36330044746399
56289,META,URIBE,95_5_3_10,50370,6.14047826627,0.0,0.0,3.002979952096939
9712,ARAUCA,SARAVENA,37_62_4_24,81736,4.640000000000001,0.0,1443.5,5.933899953365326
77996,PUTUMAYO,PUERTO GUZMÁN,121_34_1_16,86571,1.58020612031,181006.0,3625.61,5.987481114566326
10048,ARAUCA,TAME,47_15_4_15,81794,3.42,0.0,192.39,2.755680059492588
2461,ANTIOQUIA,CÁCERES,33_4_4_4,5120,36.78512110328,1799216.0,14649.708,35.94260648727417
74483,PUTUMAYO,ORITO,120_74_4_3,86320,71.08970817327,3954256.0,38437.178,41.40873339653015
27183,CAUCA,EL TAMBO,92_33_4_18,19256,113.6733756621,1573270.0,2043.399,112.13571603775024
76725,PUTUMAYO,PUERTO CAICEDO,120_50_4_23,86569,20.60689614939,6922437.0,13290.2732,27.926325974464415
25494,CAQUETÁ,SOLITA,121_17_4_13,18785,4.207812482813,5.0,670.1,3.2796550208330153
59864,NARIÑO,EL CHARCO,91_72_1_15,52250,50.540501400829996,1338129.0,16933.3,66.05958805084228
62073,NARIÑO,MAGÜÍ,105_2_3_19,52427,2.586386747081,0.0,782.24,6.518242107331753
